stem,day,lvl,ring_struct,before,after,gain,d1,d2,note
20260720_174507,20260720,130.7,2.756,3.678,0.719,3.373,1.901,0.939,
20260720_175042,20260720,130.0,2.774,6.152,3.269,4.471,3.581,2.343,
20260720_175616,20260720,130.0,2.783,5.114,2.324,6.0,2.535,2.091,
20260720_180152,20260720,130.7,2.677,4.984,2.757,6.0,3.141,2.409,
20260720_180728,20260720,131.0,2.675,4.752,2.317,5.873,2.944,2.219,
20260720_181302,20260720,131.0,2.65,4.699,2.295,5.068,2.409,1.699,
20260720_181838,20260720,130.3,2.727,5.627,2.415,6.0,3.053,2.34,
20260720_182412,20260720,130.0,2.748,3.827,1.717,6.0,1.781,1.734,
20260720_182946,20260720,130.0,3.189,4.258,1.326,3.099,3.008,1.288,
20260720_183523,20260720,130.7,2.782,4.777,0.801,3.012,2.513,1.014,
20260720_184057,20260720,130.3,2.825,3.881,1.397,3.87,2.301,1.339,
20260720_184631,20260720,131.3,3.242,3.53,0.636,2.82,1.864,0.635,
20260720_185207,20260720,132.7,3.451,5.423,1.588,3.15,3.593,1.588,
20260720_185742,20260720,132.7,3.22,4.779,1.337,3.202,2.843,1.293,
20260720_190316,20260720,133.3,2.985,5.139,0.89,2.674,3.147,0.891,
20260720_190852,20260720,135.3,3.416,6.602,0.432,2.44,4.048,0.675,
20260720_191427,20260720,134.0,4.768,3.405,-0.012,3.06,1.746,0.729,
20260720_192001,20260720,137.3,3.373,0.075,0.075,0.2,-0.41,-0.99,
20260720_192537,20260720,135.3,3.26,8.872,1.656,3.467,6.173,3.17,
20260720_193111,20260720,135.3,3.018,3.945,0.429,2.538,1.94,0.426,
20260720_193645,20260720,132.7,2.992,6.184,0.964,2.557,4.202,0.964,
20260720_194222,20260720,132.7,2.89,3.816,0.733,2.868,2.039,0.729,
20260720_194756,20260720,132.3,2.916,4.608,0.83,3.705,2.967,1.651,
20260720_195331,20260720,132.3,3.148,2.928,0.641,3.571,1.604,0.856,
20260720_195908,20260720,134.0,3.232,3.545,-0.009,3.016,1.245,0.504,
20260720_200442,20260720,135.0,2.945,3.718,0.378,2.457,2.149,0.378,
20260720_201016,20260720,135.3,2.754,4.696,-0.326,2.063,2.51,-0.323,
20260720_201552,20260720,137.7,3.179,3.645,0.551,3.082,1.282,0.543,
20260720_202126,20260720,138.0,4.925,4.529,0.474,2.664,2.496,0.696,
20260720_202744,20260720,145.3,4.207,9.239,1.082,3.391,5.701,2.84,
20260720_203320,20260720,144.0,2.852,4.685,0.577,3.634,2.063,1.123,
20260720_203854,20260720,141.0,3.09,1.151,0.437,0.531,-0.279,-0.992,
20260720_204428,20260720,142.0,2.839,4.346,0.627,2.689,2.081,0.602,
20260720_205010,20260720,144.0,6.011,0.394,0.394,0.2,-0.566,-1.29,
20260720_205544,20260720,146.3,5.583,14.131,2.152,3.906,11.113,6.524,
20260720_210118,20260720,146.0,4.125,1.614,0.009,1.025,0.009,-0.442,
20260720_210654,20260720,151.7,3.548,6.64,0.974,2.663,4.212,1.173,
20260720_211228,20260720,151.3,2.656,3.437,0.495,2.78,1.925,0.627,
20260720_211802,20260720,150.0,2.868,0.288,0.288,0.2,-0.786,-1.002,
20260720_212338,20260720,152.3,2.437,5.736,0.271,2.826,2.557,0.877,
20260720_212912,20260720,157.0,4.382,4.124,0.39,2.497,1.979,0.392,
20260720_213446,20260720,157.3,4.446,0.883,0.883,0.2,-0.455,-1.036,
20260720_214022,20260720,158.7,3.403,7.462,0.695,2.791,3.787,1.25,
20260720_214556,20260720,162.0,2.17,8.46,0.966,2.575,4.947,1.177,
20260720_215130,20260720,164.7,1.985,4.12,0.233,2.471,1.246,0.229,
20260720_215706,20260720,168.7,1.776,4.256,0.235,2.983,1.02,0.403,
20260720_220240,20260720,174.0,1.778,3.769,-0.264,1.837,0.594,-0.257,
20260720_220814,20260720,175.7,1.875,4.934,0.554,2.865,1.972,0.703,
20260720_221350,20260720,173.3,1.713,4.891,0.873,3.058,2.066,0.861,
20260720_221925,20260720,171.3,1.596,3.948,0.822,6.0,1.123,0.956,
20260720_222459,20260720,170.7,1.838,5.566,0.889,3.155,1.92,0.851,
20260720_223035,20260720,173.7,1.738,4.444,1.198,4.105,1.965,1.206,
20260720_223609,20260720,178.0,1.772,4.072,0.646,3.094,1.486,0.634,
20260720_224143,20260720,178.0,1.816,3.667,3.667,0.2,1.01,1.766,
20260720_224719,20260720,176.0,1.995,4.392,0.835,5.692,1.19,0.885,
20260720_225253,20260720,176.3,1.777,5.459,0.941,6.0,0.994,0.953,
20260720_225826,20260720,175.0,2.069,6.353,0.55,2.507,2.784,0.567,
20260720_230403,20260720,175.7,1.954,5.396,1.009,3.933,1.749,1.034,
20260720_230937,20260720,175.0,2.48,2.065,-0.083,1.918,0.254,-0.078,
20260720_231510,20260720,172.3,1.986,2.998,-0.26,1.44,0.293,-0.507,
20260720_231728,20260720,171.3,2.213,4.416,0.152,2.399,2.131,0.303,
20260720_232021,20260720,171.3,2.31,6.212,0.64,2.572,2.617,0.62,
20260720_232314,20260720,171.7,2.181,5.869,0.09,2.234,3.271,0.09,
20260720_232612,20260720,171.0,2.441,5.941,0.345,2.719,3.229,0.974,
20260720_232905,20260720,172.0,2.359,2.473,2.473,0.2,0.314,0.654,
20260720_233159,20260720,171.3,2.279,5.976,0.28,2.398,2.084,0.295,
20260720_233452,20260720,169.7,2.793,-0.132,-0.132,0.2,-0.969,-0.975,
20260720_233745,20260720,170.7,3.122,7.274,0.753,2.549,4.052,0.912,
20260720_234039,20260720,172.7,4.074,6.006,1.519,3.785,2.622,1.492,
20260720_234332,20260720,173.0,2.807,2.553,0.105,3.111,0.257,0.111,
20260720_234625,20260720,172.3,2.246,3.808,0.836,5.897,1.217,0.919,
20260720_234919,20260720,171.0,2.267,4.725,1.041,4.529,1.58,1.043,
20260720_235217,20260720,171.7,2.406,4.365,1.047,5.25,1.457,1.046,
20260720_235510,20260720,170.7,4.124,3.336,-0.366,1.599,0.354,-0.355,
20260720_235804,20260720,167.7,4.499,4.588,1.637,5.316,1.767,1.276,
20260721_000057,20260721,164.7,2.651,4.185,0.063,2.488,1.169,0.226,
20260721_000351,20260721,164.0,3.106,7.359,0.182,2.449,4.205,0.722,
20260721_000644,20260721,163.0,2.334,4.816,0.309,2.443,1.814,0.305,
20260721_000938,20260721,164.0,1.96,2.224,2.224,0.2,-0.151,-0.243,
20260721_001231,20260721,162.7,1.866,3.965,0.185,3.36,1.016,0.499,
20260721_001525,20260721,162.7,1.879,2.756,1.032,6.0,1.043,1.04,
20260721_001825,20260721,158.3,1.952,3.775,0.417,2.743,1.325,0.413,
20260721_002118,20260721,152.3,2.006,3.764,1.597,6.0,1.704,1.669,
20260721_002412,20260721,147.0,2.658,3.039,0.686,4.508,1.778,1.17,
20260721_002706,20260721,138.3,2.905,3.699,-0.066,2.479,1.576,0.297,
20260721_002959,20260721,129.0,4.405,2.947,1.222,6.0,1.864,1.653,
20260721_003253,20260721,121.0,2.696,3.052,0.137,2.344,1.25,0.134,
20260721_003547,20260721,115.3,3.143,1.892,-0.099,2.56,0.928,0.214,
20260721_003841,20260721,110.0,3.615,4.954,0.994,3.597,2.975,1.6,
20260721_004134,20260721,107.0,3.684,7.191,1.4,3.083,4.804,2.036,
20260721_004431,20260721,103.0,3.419,0.042,-0.003,0.997,-0.003,-1.098,
20260721_004724,20260721,97.3,3.035,6.874,0.765,4.916,3.696,2.563,
20260721_005042,20260721,84.0,3.62,6.296,1.524,2.852,4.374,1.539,
20260721_005336,20260721,63.7,4.522,6.581,0.574,5.025,4.029,2.828,
