stem,served,lvl,ring_struct,cx,cy,uncorrected,served_dip,model_updated
20260727_220456,2204_sky.jpg,208.3,2.06,1300.7,132.0,0.909,-3.884,2026-07-28T17:19:14+00:00
20260727_221021,2210_sky.jpg,210.0,1.81,1300.7,132.0,4.547,-0.14,2026-07-28T17:19:14+00:00
20260727_221549,2215_sky.jpg,214.7,1.74,1300.7,132.0,3.829,-0.368,2026-07-28T17:19:14+00:00
20260727_222114,2221_sky.jpg,213.0,1.82,1300.8,132.0,5.006,0.214,2026-07-28T17:19:14+00:00
20260727_222639,2226_sky.jpg,217.0,1.83,1300.8,132.0,3.949,-0.545,2026-07-28T17:19:14+00:00
20260727_223206,2231_sky.jpg,216.0,1.82,1300.8,132.0,4.66,0.231,2026-07-28T17:19:14+00:00
20260727_223731,2237_sky.jpg,217.7,1.76,1300.8,132.0,4.46,0.592,2026-07-28T17:19:14+00:00
20260727_224256,2242_sky.jpg,222.0,1.84,1300.8,132.0,4.5,0.59,2026-07-28T17:19:14+00:00
20260727_224823,2248_sky.jpg,220.3,1.91,1300.8,132.0,4.391,0.497,2026-07-28T17:19:14+00:00
20260727_225349,2253_sky.jpg,224.0,1.9,1300.8,132.0,3.218,-0.796,2026-07-28T17:19:14+00:00
20260727_225914,2259_sky.jpg,218.7,3.85,1300.9,132.0,6.409,2.614,2026-07-28T17:19:14+00:00
20260727_230441,2304_sky.jpg,210.3,2.26,1300.9,132.0,5.74,0.804,2026-07-28T17:19:14+00:00
20260727_231006,2309_sky.jpg,200.0,2.25,1300.9,132.0,5.9,0.956,2026-07-28T17:19:14+00:00
20260727_231652,2315_sky.jpg,200.0,2.21,1300.9,132.0,4.289,1.437,2026-07-28T17:19:14+00:00
20260727_232220,2320_sky.jpg,197.3,1.82,1300.9,132.0,5.046,0.463,2026-07-28T17:19:14+00:00
20260727_232504,2325_sky.jpg,181.7,2.03,1300.9,132.0,6.03,1.189,2026-07-28T17:19:14+00:00
20260727_232749,2325_sky.jpg,181.7,2.03,1300.9,132.0,4.583,1.19,2026-07-28T17:19:14+00:00
20260727_233317,2331_sky.jpg,174.3,4.37,1301.0,132.0,10.446,-4.267,2026-07-28T17:19:14+00:00
20260727_233602,2336_sky.jpg,171.7,4.11,1301.0,132.0,11.505,6.893,2026-07-28T17:19:14+00:00
20260727_233846,2336_sky.jpg,171.7,4.11,1301.0,132.0,6.631,6.894,2026-07-28T17:19:14+00:00
20260727_234130,2341_sky.jpg,163.0,3.46,1301.0,132.0,4.168,-0.19,2026-07-28T17:19:14+00:00
20260727_234414,2341_sky.jpg,163.0,3.46,1301.0,132.0,4.463,-0.191,2026-07-28T17:19:14+00:00
20260727_234714,2346_sky.jpg,162.0,2.46,1301.0,132.0,5.054,-0.303,2026-07-28T17:19:14+00:00
20260727_234958,2346_sky.jpg,162.0,2.45,1301.0,132.0,4.655,-0.305,2026-07-28T17:19:14+00:00
20260727_235243,2352_sky.jpg,158.0,2.46,1301.0,132.0,4.831,0.226,2026-07-28T17:19:14+00:00
20260727_235527,2352_sky.jpg,158.0,2.46,1301.0,132.0,6.03,0.226,2026-07-28T17:19:14+00:00
20260727_235812,2357_sky.jpg,155.0,2.56,1301.0,132.0,5.66,0.739,2026-07-28T17:19:14+00:00
20260728_123000,1229_sky.jpg,188.3,2.18,1303.2,132.1,5.122,0.853,2026-07-28T17:19:14+00:00
20260728_123528,1235_sky.jpg,162.0,2.77,1303.2,132.1,3.539,-0.508,2026-07-28T17:19:14+00:00
20260728_124054,1240_sky.jpg,153.3,3.08,1303.2,132.1,8.555,3.208,2026-07-28T17:19:14+00:00
20260728_124624,1246_sky.jpg,144.0,4.39,1303.2,132.1,6.502,1.106,2026-07-28T17:19:14+00:00
20260728_125152,1251_sky.jpg,165.0,4.22,1303.3,132.1,0.977,-3.955,2026-07-28T17:19:14+00:00
20260728_125718,1257_sky.jpg,116.3,6.85,1303.3,132.1,9.631,4.693,2026-07-28T17:19:14+00:00
20260728_130246,1302_sky.jpg,91.3,5.28,1303.3,132.1,11.077,4.16,2026-07-28T17:19:14+00:00
20260728_130813,1308_sky.jpg,155.0,3.46,1303.3,132.1,7.431,4.316,2026-07-28T17:19:14+00:00
20260728_131339,1313_sky.jpg,180.0,2.58,1303.3,132.1,6.247,2.648,2026-07-28T17:19:14+00:00
20260728_131908,1318_sky.jpg,169.7,3.15,1303.3,132.1,2.467,-0.667,2026-07-28T17:19:14+00:00
20260728_132435,1324_sky.jpg,160.0,3.27,1303.4,132.1,3.316,1.017,2026-07-28T17:19:14+00:00
20260728_133001,1329_sky.jpg,156.7,2.53,1303.4,132.1,2.795,0.946,2026-07-28T17:19:14+00:00
20260728_133531,1335_sky.jpg,146.0,3.02,1303.4,132.1,5.926,2.984,2026-07-28T17:19:14+00:00
20260728_134057,1340_sky.jpg,161.7,2.97,1303.4,132.1,6.073,1.908,2026-07-28T17:19:14+00:00
20260728_134623,1346_sky.jpg,122.3,4.16,1303.4,132.1,5.057,3.193,2026-07-28T17:19:14+00:00
20260728_135152,1351_sky.jpg,119.0,3.85,1303.4,132.1,5.06,2.827,2026-07-28T17:19:14+00:00
20260728_135718,1357_sky.jpg,137.0,3.17,1303.4,132.1,10.394,4.917,2026-07-28T17:19:14+00:00
20260728_140245,1402_sky.jpg,136.0,3.11,1303.5,132.1,6.937,3.56,2026-07-28T17:19:14+00:00
20260728_140816,1408_sky.jpg,144.0,4.06,1303.5,132.1,6.951,3.13,2026-07-28T17:19:14+00:00
20260728_141345,1413_sky.jpg,133.3,6.72,1303.5,132.2,9.232,5.875,2026-07-28T17:19:14+00:00
20260728_141914,1419_sky.jpg,144.0,4.56,1303.5,132.2,5.037,1.791,2026-07-28T17:19:14+00:00
20260728_142444,1424_sky.jpg,120.0,4.4,1303.5,132.2,9.005,4.158,2026-07-28T17:19:14+00:00
20260728_143055,1430_sky.jpg,167.0,4.28,1303.5,132.2,2.754,1.762,2026-07-28T17:19:14+00:00
20260728_143625,1436_sky.jpg,165.0,3.12,1303.6,132.2,5.368,2.585,2026-07-28T17:19:14+00:00
20260728_144156,1441_sky.jpg,165.3,2.99,1303.6,132.2,9.047,3.686,2026-07-28T17:19:14+00:00
20260728_144725,1447_sky.jpg,162.3,3.26,1303.6,132.2,5.15,2.643,2026-07-28T17:19:14+00:00
20260728_145251,1452_sky.jpg,166.0,4.23,1303.6,132.2,-3.821,-4.436,2026-07-28T17:19:14+00:00
20260728_145821,1458_sky.jpg,160.0,3.25,1303.6,132.2,0.357,-0.114,2026-07-28T17:19:14+00:00
20260728_150349,1503_sky.jpg,156.0,3.6,1303.6,132.2,5.397,1.929,2026-07-28T17:19:14+00:00
20260728_150917,1509_sky.jpg,139.0,3.7,1303.7,132.2,4.46,-0.566,2026-07-28T17:19:14+00:00
20260728_151449,1514_sky.jpg,144.0,2.78,1303.7,132.2,6.358,1.699,2026-07-28T17:19:14+00:00
20260728_152016,1520_sky.jpg,160.3,2.89,1303.7,132.2,7.012,2.127,2026-07-28T17:19:14+00:00
20260728_152546,1525_sky.jpg,133.3,4.67,1303.7,132.2,7.558,3.928,2026-07-28T17:19:14+00:00
20260728_153118,1531_sky.jpg,119.0,3.93,1303.7,132.2,5.067,2.364,2026-07-28T17:19:14+00:00
